id,package_name,version,depends,predepends,description
1670,libatk1.0-data,2.10.0-2ubuntu2,,,Common files for the ATK accessibility toolkit
1671,libnih-dbus1,1.0.3-4ubuntu25," libnih1 (= 1.0.3-4ubuntu25), libc6 (>= 2.3.4), libdbus-1-3 (>= 1.2.16)",multiarch-support,NIH D-Bus Bindings Library
1672,libnettle4,2.7.1-1, libc6 (>= 2.14),multiarch-support,low level cryptographic library (symmetric and one-way cryptos)
1673,python3-oauthlib,0.6.1-1," python3:any (>= 3.3.2-2~), python3-crypto",,"generic, spec-compliant implementation of OAuth for Python3"
1674,fonts-tlwg-sawasdee,1:0.5.1-3,,,Thai Sawasdee font
1675,libx11-data,2:1.6.2-1ubuntu2,,,X11 client-side library
1676,time,1.7-24," libc6 (>= 2.3.4), dpkg (>= 1.15.4) | install-info",,GNU time program for measuring CPU resource usage
1677,linux-headers-generic,3.13.0.32.38, linux-headers-3.13.0-32-generic,,Generic Linux kernel headers
1678,libnet-libidn-perl,0.12.ds-1build4," perl (>= 5.18.1-4), perlapi-5.18.1, libc6 (>= 2.2.5), libidn11 (>= 1.13)",,Perl bindings for GNU Libidn
1679,libselinux1,2.2.2-1ubuntu0.1," libc6 (>= 2.14), libpcre3",multiarch-support,SELinux runtime shared libraries
1680,libopenobex1,1.5-2.1," libc6 (>= 2.15), libusb-0.1-4 (>= 2:0.1.12)",,OBEX protocol library
1681,totem-common,3.10.1-1ubuntu4, dconf-gsettings-backend | gsettings-backend,,Data files for the Totem media player
1682,checkbox-gui,0.17.6-0ubuntu6," checkbox-ng-service, plainbox-provider-checkbox, qtdeclarative5-localstorage-plugin, qtdeclarative5-qtquick2-plugin, qtdeclarative5-ubuntu-ui-toolkit-plugin | qt-components-ubuntu",,QML based interface for system testing based on Plainbox.
1683,python-urlgrabber,3.9.1-4ubuntu3," python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2), python-pycurl",,A high-level cross-protocol url-grabber
1684,python3-software-properties,0.92.37.1," python3:any (>= 3.3.2-2~), python3, python3-apt (>= 0.6.20ubuntu16), python3-pycurl, lsb-release, unattended-upgrades, iso-codes",,manage the repositories that you install software from
1685,unity-scope-calculator,0.1+14.04.20140328-0ubuntu1," python3, python3-gi, gnome-calculator, gir1.2-unity-5.0 (>= 7), gir1.2-dee-1.0 (>= 1.2.5), unity-scopes-runner, gir1.2-glib-2.0",,Calculator scope for Unity
1686,openssh-client,1:6.6p1-2ubuntu2.6," libc6 (>= 2.17), libedit2 (>= 2.11-20080614), libgssapi-krb5-2 (>= 1.10+dfsg~), libselinux1 (>= 1.32), libssl1.0.0 (>= 1.0.1), zlib1g (>= 1:1.1.4), adduser (>= 3.10), dpkg (>= 1.7.0), passwd",,"secure shell (SSH) client, for secure access to remote machines"
1687,friends,0.2.0+14.04.20140217.1-0ubuntu1," libaccounts-glib0 (>= 1.0), libc6 (>= 2.2.5), libdee-1.0-4 (>= 0.5.12), libglib2.0-0 (>= 2.37.3), dconf-gsettings-backend | gsettings-backend, friends-dispatcher",,Social integration with the desktop
1688,libpython2.7-stdlib,2.7.6-8ubuntu0.2," libpython2.7-minimal (= 2.7.6-8ubuntu0.2), mime-support, libbz2-1.0, libc6 (>= 2.15), libdb5.3, libexpat1 (>= 2.1~beta3), libffi6 (>= 3.0.4), libncursesw5 (>= 5.6+20070908), libreadline6 (>= 6.0), libsqlite3-0 (>= 3.5.9), libssl1.0.0 (>= 1.0.0), libtinfo5",,"Interactive high-level object-oriented language (standard library, version 2.7)"
1689,libaudit-common,1:2.3.2-2ubuntu1,,,Dynamic library for security auditing - common files
1690,libmysqlclient-dev,5.5.49-0ubuntu0.14.04.1," libmysqlclient18 (= 5.5.49-0ubuntu0.14.04.1), zlib1g-dev",,MySQL database development files
1691,vbetool,1.1-3," libc6 (>= 2.14), libpci3 (>= 1:3.1.9-2), libx86-1 (>= 0.99-1)",,run real-mode video BIOS code to alter hardware state
1692,python-openssl,0.13-2ubuntu6," python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2), libc6 (>= 2.14), libssl1.0.0 (>= 1.0.0)",,Python 2 wrapper around the OpenSSL library
1693,libevent-2.0-5,2.0.21-stable-1ubuntu1, libc6 (>= 2.17),multiarch-support,Asynchronous event notification library
1694,libiw30,30~pre9-8ubuntu1, libc6 (>= 2.14),multiarch-support,Wireless tools - library
1695,ntpdate,1:4.2.6.p5+dfsg-3ubuntu2," netbase, libc6 (>= 2.17), libssl1.0.0 (>= 1.0.0)",dpkg (>= 1.15.7.2),client for setting system time from NTP servers
1696,libaa1,1.4p5-41," libc6 (>= 2.15), libgpm2 (>= 1.20.4), libncurses5 (>= 5.5-5~), libslang2 (>= 2.2.4), libtinfo5, libx11-6",multiarch-support,ASCII art library
1697,vim-runtime,2:7.4.052-1ubuntu3,,,Vi IMproved - Runtime files
1698,libsnmp30,5.7.2~dfsg-8.1ubuntu3," libc6 (>= 2.17), libperl5.18 (>= 5.18.2), libsensors4 (>= 1:3.0.0), libssl1.0.0 (>= 1.0.0), libwrap0 (>= 7.6-4~), libsnmp-base",multiarch-support,SNMP (Simple Network Management Protocol) library
1699,python-piston-mini-client,0.7.5-0ubuntu2," python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2), python-oauthlib, python-httplib2",,library for writing clients for Django's Piston REST APIs
1700,libtalloc2,2.1.0-1, libc6 (>= 2.14),multiarch-support,hierarchical pool based memory allocator
1701,libaccount-plugin-1.0-0,0.1.7~+14.04.20140211.2-0ubuntu4," libaccounts-glib0 (>= 1.5), libc6 (>= 2.2.5), libglib2.0-0 (>= 2.37.3), libgtk-3-0 (>= 3.0.0), libsignon-glib1 (>= 1.8), signond",,libaccount-plugin for Unity Control Center
1702,libc6,2.19-0ubuntu6, libgcc1,,Embedded GNU C Library: Shared libraries
1703,libexttextcat-2.0-0,3.4.3-1ubuntu1," libc6 (>= 2.14), libexttextcat-data (= 3.4.3-1ubuntu1)",,Language detection library
1704,libvisio-0.0-0,0.0.31-1ubuntu2," libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libicu52 (>= 52~m1-1~), libstdc++6 (>= 4.6), libwpd-0.9-9, libxml2 (>= 2.7.4), zlib1g (>= 1:1.1.4)",,library for parsing the visio file structure
1705,fcitx-config-common,0.4.7-1-1cdos1,,,graphic Fcitx configuration tool - common files
1706,libsm6,2:1.2.1-2," libc6 (>= 2.14), libice6 (>= 1:1.0.0), libuuid1 (>= 2.16)",multiarch-support,X11 Session Management library
1707,notify-osd,0.9.35+14.04.20140213-0ubuntu1," gsettings-desktop-schemas, dconf-gsettings-backend | gsettings-backend, libatk1.0-0 (>= 1.12.4), libc6 (>= 2.14), libcairo2 (>= 1.10.0), libdbus-1-3 (>= 1.0.2), libdbus-glib-1-2 (>= 0.88), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.37.3), libgtk-3-0 (>= 3.3.16), libpango-1.0-0 (>= 1.20.0), libpangocairo-1.0-0 (>= 1.14.0), libpixman-1-0 (>= 0.30.0), libwnck-3-0 (>= 3.4.0), libx11-6",,daemon that displays passive pop-up notifications
1708,dconf-cli,0.20.0-1," libc6 (>= 2.14), libdconf1 (>= 0.14.0), libglib2.0-0 (>= 2.39.4)",,simple configuration storage system - utilities
1709,mobile-broadband-provider-info,20140317-1,,,database of mobile broadband service providers
1710,libqt4-test,4:4.8.5+git192-g085f851+dfsg-2ubuntu4," libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libqtcore4 (= 4:4.8.5+git192-g085f851+dfsg-2ubuntu4), libstdc++6 (>= 4.1.1)",multiarch-support,Qt 4 test module
1711,checkbox-ng,0.3-2," python3-checkbox-ng (= 0.3-2), python3:any (>= 3.2~), python3",,PlainBox based test runner
1712,onboard,1.0.0-0ubuntu4," python3 (>= 3.4~), python3 (<< 3.5), libc6 (>= 2.14), libcairo2 (>= 1.10.0), libcanberra0 (>= 0.2), libdconf1 (>= 0.14.0), libgcc1 (>= 1:4.1.1), libglib2.0-0 (>= 2.31.8), libgtk-3-0 (>= 3.0.0), libhunspell-1.3-0, libstdc++6 (>= 4.1.1), libx11-6, libxi6 (>= 2:1.2.99.4), libxkbfile1, libxtst6, dconf-gsettings-backend | gsettings-backend, python3-cairo, python3-gi-cairo, python3-dbus, gir1.2-gtk-3.0, gir1.2-pango-1.0 (>= 1.29.3), gir1.2-glib-2.0, gir1.2-gdkpixbuf-2.0, librsvg2-common, iso-codes",,Simple On-screen Keyboard
1713,libcolumbus1,1.1.0+14.04.20140325.3-0ubuntu1," libcolumbus1-common (= 1.1.0+14.04.20140325.3-0ubuntu1), libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libicu52 (>= 52~m1-1~), libstdc++6 (>= 4.4.0)",multiarch-support,error tolerant matching engine - shared library
1714,language-selector-common,0.129.2," python3:any (>= 3.3.2-2~), python3, iso-codes, python3-apt (>= 0.7.12.0), python3-dbus, dbus, accountsservice (>= 0.6.29-1ubuntu6)",dpkg (>= 1.15.7.2),Language selector for Ubuntu
1715,gir1.2-dbusmenu-glib-0.4,12.10.3+14.04.20140612-0ubuntu1, libdbusmenu-glib4 (= 12.10.3+14.04.20140612-0ubuntu1),,typelib file for libdbusmenu-glib4
1716,rhythmbox-plugin-zeitgeist,3.0.2-0ubuntu2," rhythmbox (>= 3.0), rhythmbox (<< 3.1), gir1.2-glib-2.0, gir1.2-peas-1.0, zeitgeist-core",,zeitgeist plugin for rhythmbox music player
1717,libxdot4,2.36.0-0ubuntu3.1, libc6 (>= 2.14),,rich set of graph drawing tools - xdot library
1718,gvfs-daemons,1.20.1-1ubuntu1," libc6 (>= 2.14), libglib2.0-0 (>= 2.37.3), libgudev-1.0-0 (>= 146), libsecret-1-0 (>= 0.7), libsystemd-login0 (>= 31), libudev1 (>= 183), libudisks2-0 (>= 2.0.91), x11-utils, udisks2, gvfs-libs (= 1.20.1-1ubuntu1), gvfs-common (= 1.20.1-1ubuntu1)",,userspace virtual filesystem - servers
1719,gir1.2-gnomekeyring-1.0,3.8.0-2," libgnome-keyring0 (= 3.8.0-2), gir1.2-glib-2.0",,GNOME keyring services library - introspection data
1720,python3-xkit,0.5.0ubuntu2, python3:any (>= 3.3.2-2~),,library for the manipulation of xorg.conf files (Python 3)
1721,firefox-locale-en,31.0+build1-0ubuntu0.14.04.1,,,English language pack for Firefox
1722,grub2-common,2.02~beta2-9ubuntu1," grub-common (= 2.02~beta2-9ubuntu1), dpkg (>= 1.15.4) | install-info, libc6 (>= 2.7), libdevmapper1.02.1 (>= 2:1.02.36), liblzma5 (>= 5.1.1alpha+20120614)",,GRand Unified Bootloader (common files for version 2)
1723,libxxf86vm1,1:1.1.3-1," libc6 (>= 2.2.5), libx11-6 (>= 2:1.4.99.1), libxext6",multiarch-support,X11 XFree86 video mode extension library
1724,zeitgeist-datahub,0.9.14-0ubuntu4," zeitgeist-core (>= 0.5.0~), libc6 (>= 2.2.5), libglib2.0-0 (>= 2.37.3), libgtk-3-0 (>= 3.0.0), libjson-glib-1.0-0 (>= 0.13.2), libtelepathy-glib0 (>= 0.18.0), libzeitgeist-2.0-0 (>= 0.9.9)",,event logging framework - passive logging daemon
1725,gstreamer0.10-plugins-good,0.10," libaa1 (>= 1.4p5), libavc1394-0 (>= 0.5.3), libbz2-1.0, libc6 (>= 2.14), libcaca0 (>= 0.99.beta17-1), libcairo-gobject2 (>= 1.10.0), libcairo2 (>= 1.10.0), libdv4, libflac8 (>= 1.3.0), libgcc1 (>= 1:4.1.1), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.37.3), libgstreamer-plugins-base0.10-0 (>= 0.10.36), libgstreamer0.10-0 (>= 0.10.36-1.1), libgudev-1.0-0 (>= 146), libiec61883-0 (>= 1.2.0), libjack-jackd2-0 (>= 1.9.5~dfsg-14) | libjack-0.116, libjpeg8 (>= 8c), liborc-0.4-0 (>= 1:0.4.18), libpng12-0 (>= 1.2.13-4), libraw1394-11, libshout3, libsoup-gnome2.4-1 (>= 2.27.4), libsoup2.4-1 (>= 2.26.1), libspeex1 (>= 1.2~beta3-1), libstdc++6 (>= 4.1.1), libtag1c2a (>= 1.5), libv4l-0 (>= 0.5.0), libwavpack1 (>= 4.40.0), libx11-6, libxdamage1 (>= 1:1.1), libxext6, libxfixes3, libxml2 (>= 2.7.4), libxv1, zlib1g (>= 1:1.1.4), gstreamer0.10-plugins-base",multiarch-support,GStreamer plugins from the  good  set
1726,libnm-glib-vpn1,0.9.8.8-0ubuntu7," libc6 (>= 2.2.5), libdbus-glib-1-2 (>= 0.88), libglib2.0-0 (>= 2.22), libnm-util2 (>= 0.7.0)",,network management framework (GLib VPN shared library)
1727,libpng12-0,1.2.50-1ubuntu2," libc6 (>= 2.14), zlib1g (>= 1:1.1.4)",multiarch-support,PNG library - runtime
1728,libmtp-runtime,1.1.6-20-g1b9f164-1ubuntu2," libmtp-common, libmtp9 (= 1.1.6-20-g1b9f164-1ubuntu2), libc6 (>= 2.4)",,Media Transfer Protocol (MTP) runtime tools
1729,tcl,8.6.0+6ubuntu3, tcl8.6 (>= 8.6.0-2),,Tool Command Language (default version) - shell
1730,libfontembed1,1.0.52-0ubuntu1.2, libc6 (>= 2.14),multiarch-support,OpenPrinting CUPS Filters - Font Embed Shared library
1731,gir1.2-gtk-3.0,3.10.8-0ubuntu1.1," libgtk-3-common, gir1.2-atk-1.0, gir1.2-freedesktop, gir1.2-gdkpixbuf-2.0, gir1.2-glib-2.0, gir1.2-pango-1.0, libgtk-3-0 (>= 3.10.0)",,GTK+ graphical user interface library -- gir bindings
1732,plainbox-secure-policy,0.5.3-2,,,policykit policy required to use plainbox (secure version)
1733,libdee-1.0-4,1.2.7+14.04.20140324-0ubuntu1," libc6 (>= 2.14), libglib2.0-0 (>= 2.37.3), libicu52 (>= 52~m1-1~)",multiarch-support,model to synchronize multiple instances over DBus - shared lib
1734,apt-utils,1.0.1ubuntu2.1," libapt-inst1.5 (>= 0.9.15.4), libapt-pkg4.12 (>= 0.9.16), libc6 (>= 2.14), libdb5.3, libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.4.0)",,package management related utility programs
1735,python-commandnotfound,0.3ubuntu12," command-not-found-data, lsb-release, python-apt, python-gdbm, python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2)",,Python 2 bindings for command-not-found.
1736,libqt5network5,5.2.1+dfsg-1ubuntu14.2," libc6 (>= 2.15), libqt5core5a (>= 5.2.0), libqt5dbus5 (>= 5.0.2), libstdc++6 (>= 4.1.1), qtbase-abi-5-2-1, zlib1g (>= 1:1.1.4)","dpkg (>= 1.15.6~), multiarch-support",Qt 5 network module
1737,libmspub-0.0-0,0.0.6-1ubuntu2," libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libicu52 (>= 52~m1-1~), libstdc++6 (>= 4.6), libwpd-0.9-9, zlib1g (>= 1:1.1.4)",,library for parsing the mspub file structure
1738,udev,204-5ubuntu20.3," libacl1 (>= 2.2.51-8), libblkid1 (>= 2.19.1), libc6 (>= 2.17), libcgmanager0, libdbus-1-3 (>= 1.0.2), libkmod2 (>= 5~), libnih-dbus1 (>= 1.0.0), libnih1 (>= 1.0.0), libselinux1 (>= 2.0.65), libudev1 (= 204-5ubuntu20.3), sysv-rc (>= 2.88dsf-24) | file-rc (>= 0.8.16), lsb-base (>= 3.0-6), util-linux (>= 2.16), procps",,/dev/ and hotplug management daemon
1739,fcitx-frontend-gtk3,1:4.2.8.3-3-1cdos1," fcitx-libs (>= 4.2.7), fcitx-libs-gclient (>= 4.2.7), libc6 (>= 2.4), libglib2.0-0 (>= 2.16.0), libgtk-3-0 (>= 3.0.0), libpango-1.0-0 (>= 1.14.0), fcitx-module-dbus",,Flexible Input Method Framework - GTK+ 3 IM Module frontend
1740,fcitx-frontend-gtk2,1:4.2.8.3-3-1cdos1," fcitx-libs (>= 4.2.7), fcitx-libs-gclient (>= 4.2.7), libc6 (>= 2.4), libglib2.0-0 (>= 2.16.0), libgtk2.0-0 (>= 2.24.0), libpango-1.0-0 (>= 1.14.0), fcitx-module-dbus",,Flexible Input Method Framework - GTK+ 2 IM Module frontend
1741,libqmi-glib0,1.4.0-1," libc6 (>= 2.14), libglib2.0-0 (>= 2.32)",multiarch-support,Support library to use the Qualcomm MSM Interface (QMI) protocol
1742,php5-readline,5.5.9+dfsg-1ubuntu4.18," libc6 (>= 2.14), libedit2 (>= 3.1-20130611), phpapi-20121212, php5-common (= 5.5.9+dfsg-1ubuntu4.18), php5-cli (= 5.5.9+dfsg-1ubuntu4.18), ucf",dpkg (>= 1.15.7.2~),Readline module for php5
1743,python-httplib2,0.8-2build1," python (>= 2.7), python (<< 2.8), python:any (>= 2.7.1-0ubuntu2), ca-certificates",,comprehensive HTTP client library written for Python
1744,libclone-perl,0.36-1," perl (>= 5.18.1-5), perlapi-5.18.1, libc6 (>= 2.2.5)",,module for recursively copying Perl datatypes
1745,libdjvulibre21,3.5.25.4-3," libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libjpeg8 (>= 8c), libstdc++6 (>= 4.1.1), libdjvulibre-text (>= 3.5.25.4-3)",multiarch-support,Runtime support for the DjVu image format
1746,libpixman-1-0,0.30.2-2ubuntu1, libc6 (>= 2.14),multiarch-support,pixel-manipulation library for X and cairo
1747,mysql-workbench-data,6.0.8+dfsg-2,,,MySQL Workbench -- architecture independent data
1748,libnet-smtp-ssl-perl,1.01-3," perl, libio-socket-ssl-perl",,Perl module providing SSL support to Net::SMTP
1749,nux-tools,4.0.6+14.04.20140409-0ubuntu1," libc6 (>= 2.4), libgl1-mesa-glx | libgl1, libpci3 (>= 1:3.2.1-1), libx11-6, libxcomposite1 (>= 1:0.3-1), libxdamage1 (>= 1:1.1), libxfixes3",,Visual rendering toolkit for real-time applications - tools
1750,libraw9,0.15.4-1," libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libgomp1 (>= 4.2.1), libjasper1, libjpeg8 (>= 8c), liblcms2-2 (>= 2.2+git20110628), libstdc++6 (>= 4.4.0)",multiarch-support,raw image decoder library
1751,libxklavier16,5.4-0ubuntu1," libc6 (>= 2.14), libglib2.0-0 (>= 2.37.3), libx11-6, libxi6 (>= 2:1.1.2), libxkbfile1, libxml2 (>= 2.7.4), xkb-data (>= 0.8), x11-xkb-utils",,X Keyboard Extension high-level API
1752,libnuma1,2.0.9~rc5-1ubuntu2, libc6 (>= 2.14),multiarch-support,Libraries for controlling NUMA policy
1753,libyajl2,2.0.4-4, libc6 (>= 2.14),multiarch-support,Yet Another JSON Library
1754,compiz-gnome,1:0.9.11.2+14.04.20140714-0ubuntu1," libatk1.0-0 (>= 1.12.4), libc6 (>= 2.7), libcairo2 (>= 1.2.4), libcompizconfig0, libdecoration0 (>= 1:0.9.8.2), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.37.3), libgtk2.0-0 (>= 2.24.0), libmetacity-private0a (>= 1:2.34.0), libpango-1.0-0 (>= 1.14.0), libpangocairo-1.0-0 (>= 1.14.0), libwnck22 (>= 1:2.22), libx11-6, libxrender1, dconf-gsettings-backend | gsettings-backend, gconf2 (>= 2.28.1-2), session-migration, compiz-plugins-default (= 1:0.9.11.2+14.04.20140714-0ubuntu1), gsettings-desktop-schemas, gnome-settings-daemon-schemas (>= 3.4.2-0ubuntu9)",,OpenGL window and compositing manager - GNOME window decorator
1755,libgee2,0.6.8-1ubuntu1," libc6 (>= 2.2.5), libglib2.0-0 (>= 2.25)",multiarch-support,GObject based collection library
1756,printer-driver-c2esp,27~rc1-1," libc6 (>= 2.4), libcups2 (>= 1.4.0), libcupsfilters1 (>= 1.0~b1), libcupsimage2 (>= 1.4.0), libjbig0 (>= 2.0), zlib1g (>= 1:1.1.4)",,printer driver for Kodak ESP AiO color inkjet Series
1757,python-setuptools,2.7," python:any (>= 2.7), python:any (<< 2.8), python-pkg-resources (= 3.3-1ubuntu1)",,Python Distutils Enhancements (setuptools compatibility)
1758,libisc95,1:9.9.5.dfsg-3," libc6 (>= 2.15), libxml2 (>= 2.7.4)",,ISC Shared Library used by BIND
1759,libtinyxml2.6.2,2.6.2-2," libc6 (>= 2.4), libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.2.1)",multiarch-support,C++ XML parsing library
1760,cups-browsed,1.0.52-0ubuntu1.2," libavahi-client3 (>= 0.6.16), libavahi-common3 (>= 0.6.16), libavahi-glib1 (>= 0.6.16), libc6 (>= 2.4), libcups2 (>= 1.6.0), libglib2.0-0 (>= 2.14.0), init-system-helpers (>= 1.13~), sysv-rc (>= 2.88dsf-24) | file-rc (>= 0.8.16)",,OpenPrinting CUPS Filters - cups-browsed
1761,iptables,1.4.21-1ubuntu1," libc6 (>= 2.14), libnfnetlink0, libxtables10 (= 1.4.21-1ubuntu1)",,administration tools for packet filtering and NAT
1762,python-wheel,0.24.0-1~ubuntu1," python:any (>= 2.7.5-5~), python:any (<< 2.8)",,built-package format for Python
