id,package_name,version,depends,predepends,description
445,libdbus-glib2.0-cil,0.6.0-2," cli-common (>= 0.5.1), libdbus2.0-cil (>= 0.8), libglib2.0-0 (>= 2.40.0), libmono-corlib4.5-cil (>= 3.2.8)",,CLI implementation of D-Bus (GLib mainloop integration)
446,whiptail,0.52.15-2ubuntu6," libc6 (>= 2.14), libnewt0.52, libpopt0 (>= 1.14), libslang2 (>= 2.2.4)",,Displays user-friendly dialog boxes from shell scripts
447,libgsm1,1.0.13-5, libc6 (>= 2.3.4),multiarch-support,Shared libraries for GSM speech compressor
448,libtotem-plparser18,3.10.2-0ubuntu2," libarchive13, libc6 (>= 2.8), libglib2.0-0 (>= 2.37.3), libgmime-2.6-0 (>= 2.6.4), libsoup2.4-1 (>= 2.30.0), libxml2 (>= 2.7.4)",,Totem Playlist Parser library - runtime files
449,xserver-xorg-video-openchrome,1:0.3.3-1build2," libc6 (>= 2.14), libdrm2 (>= 2.3.1), libx11-6 (>= 2:1.4.99.1), libxext6, libxv1, libxvmc1, xorg-video-abi-15, xserver-xorg-core (>= 2:1.14.99.902)",,X.Org X server -- VIA display driver
450,cups-client,1.7.2-0ubuntu1.2+1cdos1," libavahi-client3 (>= 0.6.16), libavahi-common3 (>= 0.6.16), libc6 (>= 2.14), libcups2 (= 1.7.2-0ubuntu1.2+1cdos1), libcupsimage2 (>= 1.4.0), cups-common (>= 1.7.2-0ubuntu1.2+1cdos1), adduser",,Common UNIX Printing System(tm) - client programs (SysV)
451,ntfs-3g,1:2013.1.13AR.1-2ubuntu3," debconf (>= 0.5) | debconf-2.0, libc6 (>= 2.17), libfuse2 (>= 2.8.1), libgcrypt11 (>= 1.5.1), libgnutls26 (>= 2.12.17-0)","multiarch-support, fuse",read/write NTFS driver for FUSE
452,libpulse-mainloop-glib0,1:4.0-0ubuntu12+1cdos3+1.10.0," libc6 (>= 2.2.5), libglib2.0-0 (>= 2.16.0), libpulse0 (>= 1:0.99.1)",multiarch-support,PulseAudio client libraries (glib support)
453,gir1.2-gst-plugins-base-1.0,1.2.4-1~ubuntu2," gir1.2-glib-2.0, gir1.2-gstreamer-1.0",,
454,libsepol1,2.2-2, libc6 (>= 2.14),multiarch-support,SELinux library for manipulating binary security policies
455,libwebkitgtk-3.0-0,2.4.3-1ubuntu3," libjavascriptcoregtk-3.0-0 (= 2.4.3-1ubuntu3), libatk1.0-0 (>= 2.7.91), libc6 (>= 2.14), libcairo2 (>= 1.10.0), libenchant1c2a (>= 1.6.0), libfontconfig1 (>= 2.9.0), libfreetype6 (>= 2.2.1), libgcc1 (>= 1:4.1.1), libgdk-pixbuf2.0-0 (>= 2.22.0), libgeoclue0 (>= 0.11.1+git20091217), libgl1-mesa-glx | libgl1, libglib2.0-0 (>= 2.37.3), libgstreamer-plugins-base1.0-0 (>= 1.2.0), libgstreamer1.0-0 (>= 1.2.0), libgtk-3-0 (>= 3.10.0), libharfbuzz-icu0 (>= 0.9.18), libharfbuzz0b (>= 0.9.18), libicu52 (>= 52~m1-1~), libjpeg8 (>= 8c), libpango-1.0-0 (>= 1.30.0), libpng12-0 (>= 1.2.13-4), libsecret-1-0 (>= 0.7), libsoup2.4-1 (>= 2.44.0), libsqlite3-0 (>= 3.5.9), libstdc++6 (>= 4.8.1), libwebp5, libx11-6, libxcomposite1 (>= 1:0.3-1), libxdamage1 (>= 1:1.1), libxml2 (>= 2.7.4), libxrender1, libxslt1.1 (>= 1.1.25), libxt6, zlib1g (>= 1:1.2.0), libwebkitgtk-3.0-common (>= 2.4.3)",multiarch-support,Web content engine library for GTK+
456,libaspell15,0.60.7~20110707-1ubuntu2," libc6 (>= 2.14), libstdc++6 (>= 4.6)",,GNU Aspell spell-checker runtime library
457,dmidecode,2.12-3, libc6 (>= 2.4),,SMBIOS/DMI table decoder
458,libgtkmm-2.4-1c2a,1:2.24.4-1ubuntu2," libatkmm-1.6-1 (>= 2.22.1), libc6 (>= 2.14), libcairomm-1.0-1 (>= 1.6.4), libgcc1 (>= 1:4.1.1), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.24.0), libglibmm-2.4-1c2a (>= 2.36.2), libgtk2.0-0 (>= 2.24.0), libpangomm-1.4-1 (>= 2.27.1), libsigc++-2.0-0c2a (>= 2.0.2), libstdc++6 (>= 4.6)",multiarch-support,C++ wrappers for GTK+ (shared libraries)
459,libelfg0,0.8.13-6, libc6 (>= 2.14),multiarch-support,an ELF object file access library
460,apt-transport-https,1.0.1ubuntu2.2," libapt-pkg4.12 (>= 0.8.16~exp9), libc6 (>= 2.14), libcurl3-gnutls (>= 7.16.2), libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.4.0)",,https download transport for APT
461,libpam-modules,1.1.8-1ubuntu2+1cdos2,,"libaudit1 (>= 1:2.2.1), libc6 (>= 2.15), libdb5.3, libpam0g (>= 1.1.3-2), libselinux1 (>= 2.1.9), debconf (>= 0.5) | debconf-2.0, libpam-modules-bin (= 1.1.8-1ubuntu2+1cdos2)",Pluggable Authentication Modules for PAM
462,xserver-xorg-video-vmware,1:13.0.2-2ubuntu2," libc6 (>= 2.14), libdrm2 (>= 2.4.38), libx11-6 (>= 2:1.4.99.1), libxatracker2, libxext6, xorg-video-abi-15, xserver-xorg-core (>= 2:1.14.99.902)",,X.Org X server -- VMware display driver
463,tzdata,2014e-0ubuntu0.14.04+1cdos6+1.10.0, debconf (>= 0.5) | debconf-2.0,,time zone and daylight-saving time data
464,libgnomecanvas2-0,2.30.3-3," libart-2.0-2 (>= 2.3.19), libatk1.0-0 (>= 1.12.4), libc6 (>= 2.14), libgail18 (>= 1.18.0), libgdk-pixbuf2.0-0 (>= 2.22.0), libglade2-0 (>= 1:2.6.4-2~), libglib2.0-0 (>= 2.37.3), libgtk2.0-0 (>= 2.8.17), libpango-1.0-0 (>= 1.14.0), libpangoft2-1.0-0 (>= 1.14.0), libgnomecanvas2-common (= 2.30.3-3)",multiarch-support,powerful object-oriented display engine - runtime files
465,libtsan0,4.8.2-19ubuntu2+1cdos1," gcc-4.8-base (= 4.8.2-19ubuntu2+1cdos1), libc6 (>= 2.4), libgcc1 (>= 1:4.1.1)",multiarch-support,ThreadSanitizer -- a Valgrind-based detector of data races (runtime)
466,avahi-autoipd,0.6.31-4ubuntu2," libc6 (>= 2.14), libdaemon0 (>= 0.10), adduser",,Avahi IPv4LL network address configuration daemon
467,libavahi-glib1,0.6.31-4ubuntu2," libavahi-common3 (>= 0.6.16), libc6 (>= 2.2.5), libglib2.0-0 (>= 2.16.0)",multiarch-support,Avahi GLib integration library
468,libudev1,204-5ubuntu20.4-1cdos4," libc6 (>= 2.17), libcgmanager0, libdbus-1-3 (>= 1.0.2), libnih-dbus1 (>= 1.0.0), libnih1 (>= 1.0.0)",multiarch-support,libudev shared library
469,python,2.7.5-5ubuntu4," python2.7 (>= 2.7.5-1~), python-minimal (= 2.7.5-5ubuntu4), libpython-stdlib (= 2.7.5-5ubuntu4)",,interactive high-level object-oriented language (default version)
470,gir1.2-caribou-1.0,0.4.13-0ubuntu2," libcaribou0 (= 0.4.13-0ubuntu2), gir1.2-glib-2.0, gir1.2-gtk-3.0",,GObject introspection for the Caribou library
471,gir1.2-dee-1.0,1.2.7+14.04.20140324-0ubuntu2," gir1.2-glib-2.0, libdee-1.0-4 (>= 1.2.7+13.10.20130924.1)",,GObject introspection data for the Dee library
472,obex-data-server,0.4.6-0ubuntu3," libbluetooth3 (>= 4.91), libc6 (>= 2.14), libdbus-glib-1-2 (>= 0.88), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.37.3), libopenobex1, libusb-0.1-4 (>= 2:0.1.12)",,D-Bus service for OBEX client and server side functionality
473,libxrandr-dev,2:1.4.2-2," libxrandr2 (= 2:1.4.2-2), libx11-dev, libxext-dev, x11proto-randr-dev (>= 1.4), libxrender-dev",,X11 RandR extension library (development headers)
474,rhythmbox-plugins,3.0.2-0ubuntu2+1cdos11+1.10.0," libc6 (>= 2.4), libdmapsharing-3.0-2 (>= 2.9.12), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.37.3), libgpod4 (>= 0.7.92), libgstreamer1.0-0 (>= 1.0.0), libgtk-3-0 (>= 3.0.0), libgudev-1.0-0 (>= 146), libjson-glib-1.0-0 (>= 0.12.0), liblircclient0, libmtp9 (>= 1.1.0), libnotify4 (>= 0.7.0), libpango-1.0-0 (>= 1.14.0), libpeas-1.0-0 (>= 1.0.0), librhythmbox-core8 (= 3.0.2-0ubuntu2+1cdos11+1.10.0), libsecret-1-0 (>= 0.7), libsoup2.4-1 (>= 2.33.92), libtotem-plparser18 (>= 3.10.0), python3 (>= 3.4~), python3.4, python3 (<< 3.5), rhythmbox (= 3.0.2-0ubuntu2+1cdos11+1.10.0), gir1.2-rb-3.0 (= 3.0.2-0ubuntu2+1cdos11+1.10.0), gir1.2-glib-2.0, gir1.2-gtk-3.0, gir1.2-webkit-3.0, gir1.2-peas-1.0, gir1.2-gnomekeyring-1.0, gir1.2-gstreamer-1.0, python-gi, python3-mako",,plugins for rhythmbox music player
475,apache2-bin,2.4.7-1ubuntu4.2," libapr1 (>= 1.5.0), libaprutil1 (>= 1.5.0), libaprutil1-dbd-sqlite3 | libaprutil1-dbd-mysql | libaprutil1-dbd-odbc | libaprutil1-dbd-pgsql | libaprutil1-dbd-freetds, libaprutil1-ldap, libc6 (>= 2.14), libldap-2.4-2 (>= 2.4.7), libpcre3, libssl1.0.0 (>= 1.0.1), libxml2 (>= 2.7.4), zlib1g (>= 1:1.1.4), perl",,Apache HTTP Server (binary files and modules)
476,language-pack-gnome-zh-hans-base,1:14.04+20140410+1cdos5+1.10.0," locales (>= 2.3.6), language-pack-gnome-zh-hans",dpkg (>= 1.10.27ubuntu1),GNOME translations for language Simplified Chinese
477,gettext,0.18.3.1-1ubuntu4," libc6 (>= 2.17), libcroco3 (>= 0.6.2), libgomp1 (>= 4.2.1), libtinfo5, libunistring0, libxml2 (>= 2.7.4), gettext-base, dpkg (>= 1.15.4) | install-info",,GNU Internationalization utilities
478,libfontconfig1,2.11.0-0ubuntu4.2," fontconfig-config (= 2.11.0-0ubuntu4.2), libc6 (>= 2.14), libexpat1 (>= 2.0.1), libfreetype6 (>= 2.2.1)",multiarch-support,generic font configuration library - runtime
479,xserver-xorg-input-wacom,1:0.23.0-0ubuntu3," xorg-input-abi-20, xserver-xorg-core (>= 2:1.14.99.902), libc6 (>= 2.4), libx11-6, libxi6 (>= 2:1.2.0), libxinerama1, libxrandr2 (>= 2:1.2.0)",,X.Org X server -- Wacom input driver
480,gstreamer0.10-gnomevfs,0.10.36-1.1ubuntu3," libc6 (>= 2.7), libglib2.0-0 (>= 2.31.8), libgnomevfs2-0 (>= 1:2.17.90), libgstreamer0.10-0 (>= 0.10.36)",,GStreamer plugin for GnomeVFS
481,ifupdown,0.7.47.2ubuntu4.2," iproute2, libc6 (>= 2.14), sysv-rc (>= 2.88dsf-24) | file-rc (>= 0.8.16), lsb-base (>= 4.1+Debian3), initscripts (>= 2.88dsf-25), adduser",,high level tools to configure network interfaces
482,libsemanage1,2.2-2," libsemanage-common (= 2.2-2), libaudit1 (>= 1:2.2.1), libbz2-1.0, libc6 (>= 2.14), libselinux1 (>= 2.1.12), libsepol1 (>= 2.1.4), libustr-1.0-1 (>= 1.0.4)",multiarch-support,SELinux policy management library
483,systemd-services,204-5ubuntu20.4-1cdos4," libacl1 (>= 2.2.51-8), libc6 (>= 2.17), libcap2 (>= 2.10), libcgmanager0, libdbus-1-3 (>= 1.1.1), libnih-dbus1 (>= 1.0.0), libnih1 (>= 1.0.0), libselinux1 (>= 2.0.65), libsystemd-daemon0 (= 204-5ubuntu20.4-1cdos4), libudev1 (>= 183), udev (>= 175-0ubuntu23), dbus, systemd | systemd-shim (>= 3)",,systemd runtime services
484,libasound2-data,1.0.27.2-3ubuntu8,,,Configuration files and profiles for ALSA drivers
485,syslinux-common,3:4.05+dfsg-6+deb8u2,,,collection of boot loaders (common files)
486,grub-pc-bin,2.02~beta2-9ubuntu1.8+1cdos1," libc6 (>= 2.7), libdevmapper1.02.1 (>= 2:1.02.36), grub-common (= 2.02~beta2-9ubuntu1.8+1cdos1)",,"GRand Unified Bootloader, version 2 (PC/BIOS binaries)"
487,libaprutil1-dbd-sqlite3,1.5.3-2," libaprutil1 (= 1.5.3-2), libc6 (>= 2.2.5), libsqlite3-0 (>= 3.5.9)",,Apache Portable Runtime Utility Library - SQLite3 Driver
488,ssh-askpass-gnome,1:6.6p1-2ubuntu3," libc6 (>= 2.2.5), libglib2.0-0 (>= 2.12.0), libgtk2.0-0 (>= 2.8.0), libx11-6, openssh-client | ssh (>= 1:1.2pre7-4) | ssh-krb5",,interactive X program to prompt users for a passphrase for ssh-add
489,libmono-system-xml4.0-cil,3.2.8+dfsg-4ubuntu2," libmono-corlib4.5-cil (>= 3.2.8), libmono-system4.0-cil (>= 3.2.8)",,Mono System.Xml library (for CLI 4.0)
490,libxxf86dga1,2:1.1.4-2," libc6 (>= 2.3.4), libx11-6 (>= 2:1.6.0), libxext6",multiarch-support,X11 Direct Graphics Access extension library
491,libglade2-0,1:2.6.4-3," libatk1.0-0 (>= 1.12.4), libc6 (>= 2.14), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.37.3), libgtk2.0-0 (>= 2.8.0), libpango-1.0-0 (>= 1.14.0), libxml2 (>= 2.7.4)",multiarch-support,library to load .glade files at runtime
492,libxext6,2:1.3.2-1+1cdos2," libc6 (>= 2.14), libx11-6 (>= 2:1.6.0)",multiarch-support,X11 miscellaneous extension library
493,language-pack-gnome-zh-hans,1:14.04+20140410+1cdos2," language-pack-gnome-zh-hans-base (>= 1:14.04+20140410), language-pack-zh-hans",dpkg (>= 1.10.27ubuntu1),GNOME translation updates for language Simplified Chinese
494,gnome-accessibility-themes,3.10.0-1ubuntu3,,,Accessibility themes for the GNOME desktop
495,nemo-share,2.2.0+qiana+1cdos3," nemo, samba-common (>= 3.0.27a), samba-common-bin | samba-common (<< 2:3.4.0~pre2-1~0), cinnamon-session, apturl, libc6 (>= 2.7), libglib2.0-0 (>= 2.35.9), libgtk-3-0 (>= 3.0.0), libnemo-extension1",,Nemo extension to share folder using Samba
496,libqt5quick5,5.2.1-3ubuntu15.2," libc6 (>= 2.14), libgl1-mesa-glx | libgl1, libqt5core5a (>= 5.2.0), libqt5gui5 (>= 5.2.0), libqt5network5 (>= 5.0.2), libqt5qml5 (>= 5.2.0+gitcb78684a), libstdc++6 (>= 4.1.1), qtbase-abi-5-2-1, qtdeclarative-abi-5-2-1",multiarch-support,Qt 5 Quick library
497,libusb-1.0-0,2:1.0.17-1ubuntu3," libc6 (>= 2.17), libudev1 (>= 183)",multiarch-support,userspace USB programming library
498,myspell-en-gb,1:4.2.1-0ubuntu2, dictionaries-common (>= 0.10) | openoffice.org-updatedicts,,English_british dictionary for myspell
499,libogg0,1.3.1-1ubuntu2, libc6 (>= 2.14),multiarch-support,Ogg bitstream library
500,libts-0.0-0,1.0-13," libc6 (>= 2.7), tsconf",multiarch-support,touch screen library
501,xserver-xorg-video-radeon,1:7.3.0-1ubuntu3.2," libc6 (>= 2.17), libdrm-radeon1 (>= 2.4.39), libglamor0, libudev1 (>= 183), xorg-video-abi-15, xserver-xorg-core (>= 2:1.14.99.902)",,X.Org X server -- AMD/ATI Radeon display driver
502,geoclue,0.12.99-3ubuntu2," libc6 (>= 2.7), libdbus-glib-1-2 (>= 0.88), libgeoclue0 (>= 0.11.1), libglib2.0-0 (>= 2.37.3), libnm-glib4 (>= 0.7.999), libnm-util2 (>= 0.7.0), dconf-gsettings-backend | gsettings-backend",,Geographic information framework
503,libdpkg-perl,1.17.5ubuntu5.4+1cdos1," dpkg (>= 1.15.8), perl, libtimedate-perl",,Dpkg perl modules
504,x11-session-utils,7.7+2," libc6 (>= 2.14), libice6 (>= 1:1.0.0), libsm6, libx11-6, libxaw7, libxmuu1, libxt6 (>= 1:1.1.0), cpp",,X session utilities
505,gir1.2-timezonemap-1.0,0.4.1+1cdos1.3," gir1.2-glib-2.0, gir1.2-gtk-3.0, gir1.2-json-1.0, libtimezonemap1 (>= 0.4.1+1cdos1.3)",,typelib interface for libtimezonemap
506,python3-pam,0.4.2-13.1ubuntu4," python3 (>= 3.4~), python3 (<< 3.5), libc6 (>= 2.4), libpam0g (>= 0.99.7.1)",,Python interface to the PAM library
507,libsgutils2-2,1.36-1ubuntu2, libc6 (>= 2.14),,utilities for devices using the SCSI command set (shared libraries)
508,hunspell-en-us,20070829-4ubuntu4, dictionaries-common (>= 0.10),,English_american dictionary for hunspell
509,gvfs-backends,1.20.1-1ubuntu1+1cdos2.1+1.10.0," libarchive13, libavahi-client3 (>= 0.6.16), libavahi-common3 (>= 0.6.16), libavahi-glib1 (>= 0.6.16), libbluetooth3 (>= 4.91), libc6 (>= 2.14), libcdio-cdda1 (>= 0.83), libcdio-paranoia1 (>= 0.83), libcdio13 (>= 0.83), libdbus-1-3 (>= 1.0.2), libdbus-glib-1-2 (>= 0.78), libexpat1 (>= 2.0.1), libgcrypt11 (>= 1.5.1), libglib2.0-0 (>= 2.37.3), libgphoto2-6 (>= 2.5.2), libgphoto2-port10 (>= 2.5.2), libgtk-3-0 (>= 3.0.0), libgudev-1.0-0 (>= 146), libimobiledevice4 (>= 1.1.5), libmtp9 (>= 1.1.6), libplist1 (>= 0.16), libsmbclient (>= 2:4.0.3+dfsg1), libsoup2.4-1 (>= 2.42.0), libxml2 (>= 2.7.4), dconf-gsettings-backend | gsettings-backend, gvfs (= 1.20.1-1ubuntu1+1cdos2.1+1.10.0), gvfs-daemons (= 1.20.1-1ubuntu1+1cdos2.1+1.10.0), gvfs-libs (= 1.20.1-1ubuntu1+1cdos2.1+1.10.0), gvfs-common (= 1.20.1-1ubuntu1+1cdos2.1+1.10.0), psmisc",,userspace virtual filesystem - backends
510,fcitx-table-wubi,1:4.2.8.3-3precise1+18cdos6.8+1.10.0, fcitx-table,,Flexible Input Method Framework - Wubi table
511,lupin-casper,0.55.1," initramfs-tools (>= 0.40ubuntu11), casper (>= 0.98)",,Add support for loop-mount installations to casper
512,phppadlocksdk,1.0-1cdos1.5," libc6 (>= 2.7), php5, php5-dev",,PHP PadLock SDK
513,libbonobo2-common,2.32.1-0ubuntu6,,,Bonobo CORBA interfaces library -- support files
514,liblzo2-2,2.06-1.2ubuntu1.2, libc6 (>= 2.14),multiarch-support,data compression library
515,libxrender1,1:0.9.8-2," libc6 (>= 2.14), libx11-6 (>= 2:1.6.0)",multiarch-support,X Rendering Extension client library
516,mountall,2.53+1cdos3," makedev, udev, plymouth, coreutils (>= 7.1), libc6 (>= 2.9), libdbus-1-3 (>= 1.2.16), libnih-dbus1 (>= 1.0.0), libnih1 (>= 1.0.0), libplymouth2 (>= 0.8.1-3), libudev1 (>= 183)",dpkg (>= 1.15.7.2),filesystem mounting tool
517,libcryptgb,0.1+1cdos3, libc6 (>= 2.14),,<insert up to 60 chars description>
518,libkpathsea6,2013.20130729.30972-2build4, libc6 (>= 2.4),,TeX Live: path search library for TeX (runtime part)
519,libpython3.4,3.4.0-2ubuntu2," libpython3.4-stdlib (= 3.4.0-2ubuntu2), libc6 (>= 2.17), libexpat1 (>= 2.1~beta3), zlib1g (>= 1:1.2.0)",multiarch-support,Shared Python runtime library (version 3.4)
520,kmod,15-0ubuntu7," libc6 (>= 2.17), libkmod2, sysv-rc (>= 2.88dsf-24) | file-rc (>= 0.8.16), lsb-base (>= 3.0-6)",,tools for managing Linux kernel modules
521,liblua5.2-0,5.2.3-2, libc6 (>= 2.14),multiarch-support,Shared library for the Lua interpreter version 5.2
522,libc-dev-bin,2.19-0ubuntu7," libc6 (>> 2.19), libc6 (<< 2.20)",,Embedded GNU C Library: Development binaries
523,libtk8.6,8.6.1-3ubuntu3," libtcl8.6 (>= 8.6.0-2), libc6 (>= 2.14), libfontconfig1 (>= 2.9.0), libx11-6, libxft2 (>> 2.1.1), libxss1",multiarch-support,Tk toolkit for Tcl and X11 v8.6 - run-time files
524,libgtop2-7,2.28.5-3," libc6 (>= 2.14), libglib2.0-0 (>= 2.18.0), libxau6, libgtop2-common (>= 2.28.5-3)",,gtop system monitoring library (shared)
525,dbus,1.6.18-0ubuntu4.2," libapparmor1 (>= 2.8.94-0ubuntu1), libc6 (>= 2.14), libdbus-1-3 (>= 1.0.2), libexpat1 (>= 2.0.1), libselinux1 (>= 1.32), libsystemd-login0 (>= 31), sysv-rc (>= 2.88dsf-24) | file-rc (>= 0.8.16), adduser, lsb-base (>= 3.2-14), upstart (>= 0.6.3-6), netbase (>= 4.45ubuntu3)",,simple interprocess messaging system (daemon and utilities)
526,xserver-xorg-video-qxl,0.1.1-0ubuntu4," libc6 (>= 2.15), libspice-server1 (>= 0.12.2), xorg-video-abi-15, xserver-xorg-core (>= 2:1.14.99.902)",,X.Org X server -- QXL display driver
527,gir1.2-javascriptcoregtk-3.0,2.4.3-1ubuntu3,,,JavaScript engine library from WebKitGTK+ - GObject introspection data
528,xserver-xorg-video-savage,1:2.3.7-2ubuntu3," libc6 (>= 2.14), xorg-video-abi-15, xserver-xorg-core (>= 2:1.14.99.902)",,X.Org X server -- Savage display driver
529,libapt-pkg4.12,1.0.1ubuntu2.2," libbz2-1.0, libc6 (>= 2.15), libgcc1 (>= 1:4.1.1), liblzma5 (>= 5.1.1alpha+20120614), libstdc++6 (>= 4.6), zlib1g (>= 1:1.2.2.3)",multiarch-support,package management runtime library
530,xserver-xorg-video-fbdev,1:0.4.4-1build2," libc6 (>= 2.2.5), xorg-video-abi-15, xserver-xorg-core (>= 2:1.14.99.902)",,X.Org X server -- fbdev display driver
531,libxfont1,1:1.4.7-1ubuntu0.2," libbz2-1.0, libc6 (>= 2.14), libfontenc1, libfreetype6 (>= 2.2.1), zlib1g (>= 1:1.1.4)",multiarch-support,X11 font rasterisation library
532,ubuntu-system-adjustments,2014.8.13+1cdos5, mintsystem,,Adjustments to the Ubuntu package base
533,libenchant1c2a,1.6.0-10ubuntu2," aspell-en | myspell-dictionary | aspell-dictionary | ispell-dictionary | hunspell-dictionary, libaspell15 (>= 0.60.7~20110707), libc6 (>= 2.7), libgcc1 (>= 1:4.1.1), libglib2.0-0 (>= 2.35.9), libhunspell-1.3-0, libstdc++6 (>= 4.1.1), zlib1g (>= 1:1.1.4)",multiarch-support,Wrapper library for various spell checker engines (runtime libs)
534,zeitgeist,0.9.14-0ubuntu5," python-zeitgeist, zeitgeist-core, zeitgeist-datahub",,event logging framework
535,libthai0,0.1.20-4," libthai-data (>= 0.1.10), libc6 (>= 2.14), libdatrie1 (>= 0.2.0)",multiarch-support,Thai language support library
536,usb-modeswitch,2.1.1+repack0-1ubuntu2," libc6 (>= 2.14), libpipeline1 (>= 1.0.0), libusb-1.0-0 (>= 2:1.0.8), usb-modeswitch-data (>= 20140327)",,mode switching tool for controlling  flip flop  USB devices
537,ttf-ubuntu-font-family,0.80-0ubuntu7,,,"Ubuntu Font Family, sans-serif typeface hinted for clarity"
538,libxcb-icccm4,0.4.1-1ubuntu2," libc6 (>= 2.14), libxcb1",multiarch-support,utility libraries for X C Binding -- icccm
539,printer-driver-min12xxw,0.0.9-8ubuntu2, libc6 (>= 2.14),,printer driver for KonicaMinolta PagePro 1[234]xxW
540,libva1,1.3.0-3, libc6 (>= 2.14),multiarch-support,Video Acceleration (VA) API for Linux -- runtime
541,diffutils,1:3.3-2,,libc6 (>= 2.17),File comparison utilities
542,aspell-en,7.1-0-2," aspell (>= 0.60.3-2), dictionaries-common (>= 0.49.2)",,English dictionary for GNU Aspell
543,printer-driver-foo2zjs-common,20140209dfsg0-1ubuntu2," python3, xz-utils",,printer driver for ZjStream-based printers - common files
544,mintsystem,7.9.3+1cdos3," mint-info, cowsay, fortune, mint-common, fortunes-husse, aptitude",,Linux Mint System Base Package
545,libxvmc1,2:1.0.8-1ubuntu2," libc6 (>= 2.4), libx11-6 (>= 2:1.6.0), libxext6, x11-common",multiarch-support,X11 Video extension library
546,libgstreamer-plugins-base0.10-0,0.10.36-1.1ubuntu3," libc6 (>= 2.14), libglib2.0-0 (>= 2.37.3), libgstreamer0.10-0 (>= 0.10.36), liborc-0.4-0 (>= 1:0.4.18), zlib1g (>= 1:1.1.4), iso-codes",multiarch-support,GStreamer libraries from the  base  set
547,fcitx-libs,1:4.2.8.3-3precise1+18cdos6.8+1.10.0, libc6 (>= 2.15),multiarch-support,Flexible Input Method Framework - library files
548,libgtk2.0-0,2.24.23-0ubuntu1+2cdos2," libgtk2.0-common, libatk1.0-0 (>= 1.32.0), libc6 (>= 2.14), libcairo2 (>= 1.6.4-6.1), libcups2 (>= 1.6.2), libfontconfig1 (>= 2.9.0), libgdk-pixbuf2.0-0 (>= 2.22.0), libglib2.0-0 (>= 2.37.3), libpango-1.0-0 (>= 1.28.3), libpangocairo-1.0-0 (>= 1.28.3), libpangoft2-1.0-0 (>= 1.28.3), libx11-6 (>= 2:1.4.99.1), libxcomposite1 (>= 1:0.3-1), libxcursor1 (>> 1.1.2), libxdamage1 (>= 1:1.1), libxext6, libxfixes3, libxi6, libxinerama1, libxrandr2 (>= 2:1.2.99.3), libxrender1, shared-mime-info",multiarch-support,GTK+ graphical user interface library
549,libatasmart4,0.19-4," libc6 (>= 2.14), libudev1 (>= 183)",multiarch-support,ATA S.M.A.R.T. reading and parsing library
550,doc-base,0.10.5.1," libuuid-perl, libyaml-tiny-perl",,utilities to manage online documentation
551,libpolkit-agent-1-0,0.105-4ubuntu3," libc6 (>= 2.4), libglib2.0-0 (>= 2.37.3), libpolkit-gobject-1-0 (>= 0.105)",multiarch-support,PolicyKit Authentication Agent API
552,liboil0.3,0.3.17-2ubuntu5, libc6 (>= 2.14),multiarch-support,Library of Optimized Inner Loops
553,libtag1-vanilla,1.9.1-3," libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.6), zlib1g (>= 1:1.1.4)",multiarch-support,audio meta-data library - vanilla flavour
554,xserver-xorg-input-evdev,1:2.8.2-1ubuntu3," libc6 (>= 2.14), libmtdev1 (>= 1.1.0), libudev1 (>= 183), xorg-input-abi-20, xserver-xorg-core (>= 2:1.14.99.902)",,X.Org X server -- evdev input driver
555,libgnomevfs2-common,1:2.24.4-1ubuntu7," gconf2 (>= 2.28.1-2), shared-mime-info",,GNOME Virtual File System (common files)
556,libept1.4.12,1.0.12.1," libapt-pkg4.12 (>= 0.8.16~exp9), libc6 (>= 2.14), libgcc1 (>= 1:4.1.1), libstdc++6 (>= 4.4.0), zlib1g (>= 1:1.1.4)",multiarch-support,High-level library for managing Debian package information
557,libwnck-3-common,3.4.7-0ubuntu4,,,Window Navigator Construction Kit - common files
558,fcitx-data,1:4.2.8.3-3precise1+18cdos6.8+1.10.0,,,Flexible Input Method Framework - essential data files
559,libopencv-photo2.4,2.4.8+dfsg1-2ubuntu2," libc6 (>= 2.2.5), libgcc1 (>= 1:4.1.1), libopencv-core2.4, libopencv-imgproc2.4 (= 2.4.8+dfsg1-2ubuntu2), libstdc++6 (>= 4.1.1)",multiarch-support,computer vision computational photography library
560,gconf2-common,3.2.6-0ubuntu3, ucf,,GNOME configuration database system (common files)
561,libsnmp-base,5.7.2~dfsg-8.1ubuntu4,,,"SNMP configuration script, MIBs and documentation"
562,libqt5xml5,5.2.1+dfsg-1ubuntu14.3," libc6 (>= 2.14), libqt5core5a (>= 5.0.2), libstdc++6 (>= 4.1.1), qtbase-abi-5-2-1","dpkg (>= 1.15.6~), multiarch-support",Qt 5 XML module
